AyahRef,Word,Meaning,Highlight
2:130,"وَلَقَدِ ٱصۡطَفَيۡنَٰهُ فِي ٱلدُّنۡيَاۖ وَإِنَّهُۥ فِي ٱلۡأٓخِرَةِ لَمِنَ ٱلصَّٰلِحِينَ ",Allah presents an example of those who disbelieved: the wife of Noah and the wife of Lot. (66:10),
,أَبَدًا,Offspring,أَبَدٗا
5:24,"قَالُواْ يَٰمُوسَىٰٓ إِنَّا لَن نَّدۡخُلَهَآ أَبَدٗا مَّا دَامُواْ فِيهَا ","At that, Zechariah called upon his Lord, saying, ""My Lord, grant me from Yourself a good offspring. (3:38)",أَبَدٗاۚ
9:100,"وَأَعَدَّ لَهُمۡ جَنَّٰتٖ تَجۡرِي تَحۡتَهَا ٱلۡأَنۡهَٰرُ خَٰلِدِينَ فِيهَآ أَبَدٗاۚ ",And let those [executors and guardians] fear [injustice] as if they [themselves] had left weak offspring behind and feared for them. (4:9),
,عَٰقِبَة,Son (child),عَٰقِبَةُ
3:137,"فَسِيرُواْ فِي ٱلۡأَرۡضِ فَٱنظُرُواْ كَيۡفَ كَانَ عَٰقِبَةُ ٱلۡمُكَذِّبِينَ ","They say, ""Allah has taken a son."" Exalted is He! Rather, to Him belongs whatever is in the heavens and the earth. (2:116)",عَٰقِبَةُ
6:11,"قُلۡ سِيرُواْ فِي ٱلۡأَرۡضِ ثُمَّ ٱنظُرُواْ كَيۡفَ كَانَ عَٰقِبَةُ ٱلۡمُكَذِّبِينَ ",Sons (children),
,"جَهَنَّم ",Those will have lost who killed their children in foolishness without knowledge (6:140),جَهَنَّمُۖ
3:197,"مَتَٰعٞ قَلِيلٞ ثُمَّ مَأۡوَىٰهُمۡ جَهَنَّمُۖ وَبِئۡسَ ٱلۡمِهَادُ ",Son,
,نَار,"And We gave Jesus, the son of Mary, clear proofs and supported him with the Pure Spirit. (2:87)",نَارًا
4:14,"وَمَن يَعۡصِ ٱللَّهَ وَرَسُولَهُۥ وَيَتَعَدَّ حُدُودَهُۥ يُدۡخِلۡهُ نَارًا خَٰلِدٗا فِيهَا ",sons,
,وَيۡل,Those to whom We gave the Scripture know him as they know their own sons. (2:146),فَوَيۡلٞ
19:37,"فَوَيۡلٞ لِّلَّذِينَ كَفَرُواْ مِن مَّشۡهَدِ يَوۡمٍ عَظِيمٍ ",Brothers,فَوَيۡلٞ
2:79,"فَوَيۡلٞ لِّلَّذِينَ يَكۡتُبُونَ ٱلۡكِتَٰبَ بِأَيۡدِيهِمۡ ثُمَّ يَقُولُونَ هَٰذَا مِنۡ عِندِ ٱللَّه ","Say, ""Improvement for them is best. And if you mix your affairs with theirs - they are your brothers. (2:220)",
,عِقَاب,And [some] among their fathers and their descendants and their brothers - and We chose them and We guided them to a straight path. (6:87),عِقَابِ
38:14,"إِن كُلٌّ إِلَّا كَذَّبَ ٱلرُّسُلَ فَحَقَّ عِقَابِ ",Guardian/ Supporter,ٱلۡعِقَابِ
5:98,"ٱعۡلَمُوٓاْ أَنَّ ٱللَّهَ شَدِيدُ ٱلۡعِقَابِ وَأَنَّ ٱللَّهَ غَفُورٞ رَّحِيمٞ ","But if the one who has the obligation is of limited understanding or weak or unable to dictate himself, then let his guardian dictate in justice. (2:282)",
,عَذَاب,Guardian/ Supporter,عَذَابٌ
2:114,"لَهُمۡ فِي ٱلدُّنۡيَا خِزۡيٞ وَلَهُمۡ فِي ٱلۡأٓخِرَةِ عَذَابٌ عَظِيمٞ ",Let not believers take disbelievers as allies rather than believers. (3:28),عَذَابَ
6:15,"قُلۡ إِنِّيٓ أَخَافُ إِنۡ عَصَيۡتُ رَبِّي عَذَابَ يَوۡمٍ عَظِيمٖ ",Male,
,أَلِيم,"Whoever does righteousness, whether male or female, while he is a believer - We will surely cause him to live a good life, (16:97)",أَلِيمُۢ
10:4,"لَهُمۡ شَرَابٞ مِّنۡ حَمِيمٖ وَعَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡفُرُونَ ","but whoever does righteousness, whether male or female, while he is a believer - those will enter Paradise, (40:40)",أَلِيمٞ
2:178,"فَمَنِ ٱعۡتَدَىٰ بَعۡدَ ذَٰلِكَ فَلَهُۥ عَذَابٌ أَلِيمٞ ",Female,
,جَزَاء," ""My Lord, I have delivered a female."" And Allah was most knowing of what she delivered, ""And the male is not like the female. (3:36)",جَزَآءُ
10:27,"وَٱلَّذِينَ كَسَبُواْ ٱلسَّيِّـَٔاتِ جَزَآءُ سَيِّئَةِۭ بِمِثۡلِهَا وَتَرۡهَقُهُمۡ ذِلَّةٞۖ ","but whoever does righteousness, whether male or female, while he is a believer - those will enter Paradise, (40:40)",جَزَآءً
18:88,"وَأَمَّا مَنۡ ءَامَنَ وَعَمِلَ صَٰلِحٗا فَلَهُۥ جَزَآءً ٱلۡحُسۡنَىٰۖ ",Face/ Countenance,
,ثَواب,"That is best for those who desire the countenance of Allah, (30:38)",ثَوَابٗا
19:76,"وَٱلۡبَٰقِيَٰتُ ٱلصَّٰلِحَٰتُ خَيۡرٌ عِندَ رَبِّكَ ثَوَابٗا وَخَيۡرٞ مَّرَدًّا ",Faces/ Countenance,ثَوَابَ
3:145,"وَمَن يُرِدۡ ثَوَابَ ٱلۡأٓخِرَةِ نُؤۡتِهِۦ مِنۡهَاۚ ",On the Day [some] faces will turn white and [some] faces will turn black. (3:106) ,
,"جَنَّة ",Vision,ٱلۡجَنَّةَ
3:185,"فَمَن زُحۡزِحَ عَنِ ٱلنَّارِ وَأُدۡخِلَ ٱلۡجَنَّةَ فَقَدۡ فَازَۗ ",Indeed in that is a lesson for those of vision. (3:13),
,جَنَّٰت,"Vision perceives Him not, but He perceives [all] vision; and He is the Subtle, the Acquainted. (6:103)",جَنَّٰتٖ
2:25,"وَبَشِّرِ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمۡ جَنَّٰتٖ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۖ ",Breast/chest,
,ٱلدُّنۡيَا,So whoever Allah wants to guide - He expands his breast to [contain] Islam; (6:125) ,ٱلدُّنۡيَا
2:86,"أُوْلَٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاْ ٱلۡحَيَوٰةَ ٱلدُّنۡيَا بِٱلۡأٓخِرَةِۖ ","[This is] a Book revealed to you, [O Muhammad] - so let there not be in your breast distress therefrom - that you may warn thereby (7:2) ",ٱلدُّنۡيَاۖ
2:130,"وَلَقَدِ ٱصۡطَفَيۡنَٰهُ فِي ٱلدُّنۡيَاۖ وَإِنَّهُۥ فِي ٱلۡأٓخِرَةِ لَمِنَ ٱلصَّٰلِحِينَ ",Breasts/ (chests,
,عَٰلَمِين,"Say, ""Whether you conceal what is in your breasts or reveal it, Allah knows it. (3:29) ",ٱلۡعَٰلَمِينَ
1:2,"ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ ",Heart,ٱلۡعَٰلَمِينَ
2:131,"إِذۡ قَالَ لَهُۥ رَبُّهُۥٓ أَسۡلِمۡۖ قَالَ أَسۡلَمۡتُ لِرَبِّ ٱلۡعَٰلَمِينَ ","And if you had been rude [in speech] and harsh in heart, they would have disbanded from about you. (3:159)",
,أَمۡوَٰل,Hearts,أَمۡوَٰلُهُمۡ
3:10,"إِنَّ ٱلَّذِينَ كَفَرُواْ لَن تُغۡنِيَ عَنۡهُمۡ أَمۡوَٰلُهُمۡ وَلَآ أَوۡلَٰدُهُم مِّنَ ٱللَّهِ شَيۡـٔٗاۖ  ","Unquestionably, by the remembrance of Allah hearts are assured."" (13:28)",ٱلۡأَمۡوَٰلِ
2:155,"وَلَنَبۡلُوَنَّكُم بِشَيۡءٖ مِّنَ ٱلۡخَوۡفِ وَٱلۡجُوعِ وَنَقۡصٖ مِّنَ ٱلۡأَمۡوَٰلِ وَٱلۡأَنفُسِ وَٱلثَّمَرَٰتِۗ ",Soul,
,بَيۡت,"And do not kill the soul which Allah has forbidden, except by right. (17:33)",بَيۡتـِيَ
71:28,"رَّبِّ ٱغۡفِرۡ لِي وَلِوَٰلِدَيَّ وَلِمَن دَخَلَ بَيۡتـِيَ مُؤۡمِنٗا وَلِلۡمُؤۡمِنِينَ وَٱلۡمُؤۡمِنَٰتِۖ ",And it is not [possible] for one to die except by permission of Allah at a decree determined. (3:145),بَيۡتٗا
66:11,"قَالَتۡ رَبِّ ٱبۡنِ لِي عِندَكَ بَيۡتٗا فِي ٱلۡجَنَّةِ وَنَجِّنِي مِن فِرۡعَوۡنَ ",Souls,
,ٱلۡبَيۡت,"And We will surely test you with something of fear and hunger and a loss of wealth and lives and fruits, (2:155)",ٱلۡبَيۡتِ
106:1-3,"لِإِيلَٰفِ قُرَيۡشٍ ١ إِۦلَٰفِهِمۡ رِحۡلَةَ ٱلشِّتَآءِ وَٱلصَّيۡفِ ٢ فَلۡيَعۡبُدُواْ رَبَّ هَٰذَا ٱلۡبَيۡتِ ٣ ",Spirit/ Soul,ٱلۡبَيۡتَ
2:125,"وَإِذۡ جَعَلۡنَا ٱلۡبَيۡتَ مَثَابَةٗ لِّلنَّاسِ وَأَمۡنٗا وَٱتَّخِذُواْ مِن مَّقَامِ إِبۡرَٰهِـۧمَ مُصَلّٗىۖ ","And they ask you, [O Muhammad], about the soul. Say, ""The soul is of the affair of my Lord. (17:85)",
,"دَار ","And We gave Jesus, the son of Mary, clear proofs and supported him with the Pure Spirit. (2:87)",دَارُ
6:127,لَهُمۡ دَارُ ٱلسَّلَٰمِ عِندَ رَبِّهِمۡۖ وَهُوَ وَلِيُّهُم بِمَا كَانُواْ يَعۡمَلُونَ,Power (strength),دَارِهِمۡ
7:91,"فَأَخَذَتۡهُمُ ٱلرَّجۡفَةُ فَأَصۡبَحُواْ فِي دَارِهِمۡ جَٰثِمِينَ ","And if only they who have wronged would consider [that] when they see the punishment, that all power belongs to Allah (2:165)",
,دِيَٰر,And prepare against them whatever you are able of power and of steeds of war by which you may terrify the enemy of Allah (8:60),دِيَٰرِهِمۡ
2:243,"أَلَمۡ تَرَ إِلَى ٱلَّذِينَ خَرَجُواْ مِن دِيَٰرِهِمۡ وَهُمۡ أُلُوفٌ ",People,
,مَتَٰع,"Have the people been amazed that We revealed [revelation] to a man from among them, (10:2)",مَتَٰعُ
9:38,"فَمَا مَتَٰعُ ٱلۡحَيَوٰةِ ٱلدُّنۡيَا فِي ٱلۡأٓخِرَةِ إِلَّا قَلِيلٌ ",Thus do We recompense the criminal people (10:13),مَّتَٰعَ
10:23,"يَٰٓأَيُّهَا ٱلنَّاسُ إِنَّمَا بَغۡيُكُمۡ عَلَىٰٓ أَنفُسِكُمۖ مَّتَٰعَ ٱلۡحَيَوٰةِ ٱلدُّنۡيَاۖ ",Nation,
,مَكَان,"And let there be [arising] from you a nation inviting to [all that is] good, enjoining what is right, (3:104)",مَكَانٗا
19:22,"فَحَمَلَتۡهُ فَٱنتَبَذَتۡ بِهِۦ مَكَانٗا قَصِيّٗا ",Nations,مَّكَانَ
16:101,"وَإِذَا بَدَّلۡنَآ ءَايَةٗ مَّكَانَ ءَايَةٖ وَٱللَّهُ أَعۡلَمُ بِمَا يُنَزِّلُ قَالُوٓاْ إِنَّمَآ أَنتَ مُفۡتَرِۭۚ  ","And We have already sent [messengers] to nations before you, [O Muhammad]; then We seized them with poverty and hardship (6:42)",
,"قَرۡيَة ",Man (mankind),ٱلۡقَرۡيَةَ
2:58,"وَإِذۡ قُلۡنَا ٱدۡخُلُواْ هَٰذِهِ ٱلۡقَرۡيَةَ فَكُلُواْ مِنۡهَا حَيۡثُ شِئۡتُمۡ رَغَدٗا ","And when affliction touches man, he calls upon Us to [remove] an affliction that touched him, (10:12)",قَرۡيَةٖ
2:259,"أَوۡ كَٱلَّذِي مَرَّ عَلَىٰ قَرۡيَةٖ وَهِيَ خَاوِيَةٌ عَلَىٰ عُرُوشِهَا ",And Allah wants to lighten for you [your difficulties]; and mankind was created weak. (4:28),
,قُرَىٰ,Eminent (chiefs),ٱلۡقُرَىٰ
6:92,وَهَٰذَا كِتَٰبٌ أَنزَلۡنَٰهُ مُبَارَكٞ مُّصَدِّقُ ٱلَّذِي بَيۡنَ يَدَيۡهِ وَلِتُنذِرَ أُمَّ ٱلۡقُرَىٰ وَمَنۡ حَوۡلَهَاۚ,"Said the eminent among his people, ""Indeed, we see you in clear error."" (7:60)",ٱلۡقُرَىٰ
6:131,ذَٰلِكَ أَن لَّمۡ يَكُن رَّبُّكَ مُهۡلِكَ ٱلۡقُرَىٰ بِظُلۡمٖ وَأَهۡلُهَا غَٰفِلُونَ,"Said the eminent among the people of Pharaoh, ""Indeed, this is a learned magician (7:109)",
,مَدِينَة,Servant,ٱلۡمَدِينَةِ
7:123,"إِنَّ هَٰذَا لَمَكۡرٞ مَّكَرۡتُمُوهُ فِي ٱلۡمَدِينَةِ لِتُخۡرِجُواْ مِنۡهَآ أَهۡلَهَاۖ ","And if you are in doubt about what We have sent down upon Our Servant [Muhammad], then produce a surah (2:23)",ٱلۡمَدِينَةِ
12:30,"وَقَالَ نِسۡوَةٞ فِي ٱلۡمَدِينَةِ ٱمۡرَأَتُ ٱلۡعَزِيزِ تُرَٰوِدُ فَتَىٰهَا عَن نَّفۡسِهِۦ ",Servants,
,ٱلۡمَدِينَة,"And when My servants ask you, [O Muhammad], concerning Me - indeed I am near. (2:186)",ٱلۡمَدِينَةِ
9:101,وَمِنۡ أَهۡلِ ٱلۡمَدِينَةِ مَرَدُواْ عَلَى ٱلنِّفَاقِ لَا تَعۡلَمُهُمۡۖ,A spring of which the [righteous] servants of Allah will drink; they will make it gush forth in force [and abundance]. (76:6),ٱلۡمَدِينَةِ
63:8,"يَقُولُونَ لَئِن رَّجَعۡنَآ إِلَى ٱلۡمَدِينَةِ لَيُخۡرِجَنَّ ٱلۡأَعَزُّ مِنۡهَا ٱلۡأَذَلَّۚ ",Enemy,
,"سَبِيل ","and do not follow the footsteps of Satan. Indeed, he is to you a clear enemy. (2:208)",سَبِيلِ
63:2,"ٱتَّخَذُوٓاْ أَيۡمَٰنَهُمۡ جُنَّةٗ فَصَدُّواْ عَن سَبِيلِ ٱللَّهِۚ ",Enemyies,سَبِيلِهِۦ
68:7,"إِنَّ رَبَّكَ هُوَ أَعۡلَمُ بِمَن ضَلَّ عَن سَبِيلِهِۦ وَهُوَ أَعۡلَمُ بِٱلۡمُهۡتَدِينَ ",And remember the favor of Allah upon you - when you were enemies and He brought your hearts together (3:103),
,سُبُل,Criminals,سُبُلٗا
71:19-20,"وَٱللَّهُ جَعَلَ لَكُمُ ٱلۡأَرۡضَ بِسَاطٗا ١٩ لِّتَسۡلُكُواْ مِنۡهَا سُبُلٗا فِجَاجٗا ","And thus do We detail the verses, and [thus] the way of the criminals will become evident. (6:55)",
,صِرَٰط,"The day they see the angels - no good tidings will there be that day for the criminals, and [the angels] will say, ""Prevented and inaccessible."" (25:22)",ٱلصِّرَٰطَ
1:6,"ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ ","Party ",صِرَٰطٖ
23:73,"وَإِنَّكَ لَتَدۡعُوهُمۡ إِلَىٰ صِرَٰطٖ مُّسۡتَقِيمٖ ","Do you covet [the hope, O believers], that they would believe for you while a party of them used to hear the words of Allah and then distort the Torah (2:75)",
,"مَسۡجِد ","But is it [not] that every time a messenger came to you, [O Children of Israel], with what your souls did not desire, you were arrogant? And a party [of messengers] you denied and another party you killed. (2:87)",ٱلۡمَسۡجِدِ
2:150,"فَوَلِّ وَجۡهَكَ شَطۡرَ ٱلۡمَسۡجِدِ ٱلۡحَرَامِۚ ",Party / Group,
,مَسَٰجِد,"O you who have believed, when you encounter a company [from the enemy forces], stand firm and remember Allah much (8:45)",مَسَٰجِدَ
9:17,"مَا كَانَ لِلۡمُشۡرِكِينَ أَن يَعۡمُرُواْ مَسَٰجِدَ ٱللَّهِ شَٰهِدِينَ عَلَىٰٓ أَنفُسِهِم بِٱلۡكُفۡرِۚ ",Party / Group,
,فِتۡنَة,"A faction of the people of the Scripture wish they could mislead you. But they do not mislead except themselves, (3:69)",فِتۡنَةٞ
2:102,"وَمَا يُعَلِّمَانِ مِنۡ أَحَدٍ حَتَّىٰ يَقُولَآ إِنَّمَا نَحۡنُ فِتۡنَةٞ فَلَا تَكۡفُرۡۖ ",All/ Everybody /Everyone,فِتۡنَةٗ
74:31,"وَمَا جَعَلۡنَا عِدَّتَهُمۡ إِلَّا فِتۡنَةٗ لِّلَّذِينَ كَفَرُواْ لِيَسۡتَيۡقِنَ ٱلَّذِينَ أُوتُواْ ٱلۡكِتَٰبَ ","Wherever you may be, Allah will bring you forth [for judgement] all together. (2:148)",
,لِقَآء,"Indeed, those who disbelieve and die while they are disbelievers - upon them will be the curse of Allah and of the angels and the people, all together, (2:161)",بِلِقَآءِ
6:31,قَدۡ خَسِرَ ٱلَّذِينَ كَذَّبُواْ بِلِقَآءِ ٱللَّهِۖ,Same/ Equal/ Straight,لِقَآءَ
7:51,"فَٱلۡيَوۡمَ نَنسَىٰهُمۡ كَمَا نَسُواْ لِقَآءَ يَوۡمِهِمۡ هَٰذَا وَمَا كَانُواْ بِ‍َٔايَٰتِنَا يَجۡحَدُون ","Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe. (2:6) ",
,ذِي ٱلۡقُرۡبَى,And whoever exchanges faith for disbelief has certainly strayed from the soundness of the way. (2:108),"بِذِي ٱلۡقُرۡبَىٰ "
4:36,"وَٱعۡبُدُواْ ٱللَّهَ وَلَا تُشۡرِكُواْ بِهِۦ شَيۡـٔٗاۖ وَبِٱلۡوَٰلِدَيۡنِ إِحۡسَٰنٗا وَبِذِي ٱلۡقُرۡبَىٰ وَٱلۡيَتَٰمَىٰ  ",Name,لِـذِي ٱلۡقُرۡبَىٰ
59:7,"مَّآ أَفَآءَ ٱللَّهُ عَلَىٰ رَسُولِهِۦ مِنۡ أَهۡلِ ٱلۡقُرَىٰ فَلِلَّهِ وَلِلرَّسُولِ وَلِـذِي ٱلۡقُرۡبَىٰ ","[He was told], ""O Zechariah, indeed We give you good tidings of a boy whose name will be John. (19:7)",
,ٱلۡوَٰلِدَيۡن,And for all religion We have appointed a rite [of sacrifice] that they may mention the name of Allah over what He has provided for them (22:34),وَبِٱلۡوَٰلِدَيۡنِ
2:83,"وَإِذۡ أَخَذۡنَا مِيثَٰقَ بَنِيٓ إِسۡرَٰٓءِيلَ لَا تَعۡبُدُونَ إِلَّا ٱللَّهَ وَبِٱلۡوَٰلِدَيۡنِ إِحۡسَانٗا ",Companion Inmate,وَبِٱلۡوَٰلِدَيۡنِ
4:36,"وَٱعۡبُدُواْ ٱللَّهَ وَلَا تُشۡرِكُواْ بِهِۦ شَيۡـٔٗاۖ وَبِٱلۡوَٰلِدَيۡنِ إِحۡسَٰنٗا وَبِذِي ٱلۡقُرۡبَىٰ وَٱلۡيَتَٰمَىٰ  ","His companion said to him while he was conversing with him, ""Have you disbelieved in He who created you from dust (18:37)",
,أُمّ,Companion (Inmates),أُمِّ
28:7,"وَأَوۡحَيۡنَآ إِلَىٰٓ أُمِّ مُوسَىٰٓ أَنۡ أَرۡضِعِيهِۖ ",And those who disbelieve and deny Our signs - those will be companions (inmates) of the Fire; (2:39),أُمِّ
28:10,وَأَصۡبَحَ فُؤَادُ أُمِّ مُوسَىٰ فَٰرِغًاۖ,Pharaoh,
,أَبّ/أَبَتِ,Then We sent after them Moses and Aaron to Pharaoh and his establishment (10:75) ,أَبِـي
28:25,"قَالَتۡ إِنَّ أَبِـي يَدۡعُوكَ لِيَجۡزِيَكَ أَجۡرَ مَا سَقَيۡتَ لَنَاۚ ","And [recall] when We saved your forefathers from the people of Pharaoh, who afflicted you with the worst torment, (2:49)",يَٰٓأَبَتِ
28:26,"قَالَتۡ إِحۡدَىٰهُمَا يَٰٓأَبَتِ ٱسۡتَـٔۡجِرۡهُۖ إِنَّ خَيۡرَ مَنِ ٱسۡتَـٔۡجَرۡتَ ٱلۡقَوِيُّ ٱلۡأَمِينُ ",Christians,
,ءَابَآء,"And they say, ""None will enter Paradise except one who is a Jew or a Christian."" (2:111)",ءَابَآءَنَآۚ
2:170,"وَإِذَا قِيلَ لَهُمُ ٱتَّبِعُواْ مَآ أَنزَلَ ٱللَّهُ قَالُواْ بَلۡ نَتَّبِعُ مَآ أَلۡفَيۡنَا عَلَيۡهِ ءَابَآءَنَآۚ  ","But the Jews and the Christians say, ""We are the children of Allah and His beloved."" (5:18)",ءَابَآءَنَآۚ
31:21,"قَالُواْ بَلۡ نَتَّبِعُ مَا وَجَدۡنَا عَلَيۡهِ ءَابَآءَنَآۚ ",Women/ wives,
,زَوۡج,"""O Mary, indeed Allah has chosen you and purified you and chosen you above the women of the worlds. (2:42)
And they request from you, [O Muhammad], a [legal] ruling concerning women. Say, ""Allah gives you a ruling about them and [about] what has been recited to you (4:127)",زَوۡجُكَ
2:35,"وَقُلۡنَا يَٰٓـَٔادَمُ ٱسۡكُنۡ أَنتَ وَزَوۡجُكَ ٱلۡجَنَّةَ ",Men,زَوۡجَهَا
7:189,"هُوَ ٱلَّذِي خَلَقَكُم مِّن نَّفۡسٖ وَٰحِدَةٖ وَجَعَلَ مِنۡهَا زَوۡجَهَا لِيَسۡكُنَ إِلَيۡهَاۖ ",And We sent not before you [as messengers] except men to whom We revealed from among the people of cities. (12:109) ,
,رَجُل,And proclaim to the people the Hajj [pilgrimage]; they will come to you on foot and on every lean camel; (22:27),رَجُلٖ
10:2," أَكَانَ لِلنَّاسِ عَجَبًا أَنۡ أَوۡحَيۡنَآ إِلَىٰ رَجُلٖ مِّنۡهُمۡ ",Bones,رَجُلٗا
6:9,"وَلَوۡ جَعَلۡنَٰهُ مَلَكٗا لَّجَعَلۡنَٰهُ رَجُلٗا ","And they say, ""When we are bones and crumbled particles, will we [truly] be resurrected as a new creation?"" (17:49)",
,ٱمۡرَأة,"and We made [from] the clot, bones, and We covered the bones with flesh; (23:14)",ٱمۡرَأَةٗ
27:23,"إِنِّي وَجَدتُّ ٱمۡرَأَةٗ تَمۡلِكُهُمۡ وَأُوتِيَتۡ مِن كُلِّ شَيۡءٖ ",The dead,
,ٱمۡرَأة / ٱمۡرَأت,"So, We said, ""Strike the slain man with part of it."" Thus does Allah bring the dead to life, and He shows you His signs (2:73)",ٱمۡرَأَتَ
66:10,"ضَرَبَ ٱللَّهُ مَثَلٗا لِّلَّذِينَ كَفَرُواْ ٱمۡرَأَتَ نُوحٖ وَٱمۡرَأَتَ لُوطٖۖ ",and when you brought forth the dead with My permission. (5:110),
,ذُرِّيَّة,Hands,ذُرِّيَّةٗ
3:38,"هُنَالِكَ دَعَا زَكَرِيَّا رَبَّهُۥۖ قَالَ رَبِّ هَبۡ لِي مِن لَّدُنكَ ذُرِّيَّةٗ طَيِّبَةًۖ ","So woe to those who write the ""scripture"" with their own hands, then say, ""This is from Allah,"" (2:79)",ذُرِّيَّةٗ
4:9,"وَلۡيَخۡشَ ٱلَّذِينَ لَوۡ تَرَكُواْ مِنۡ خَلۡفِهِمۡ ذُرِّيَّةٗ ضِعَٰفًا خَافُواْ عَلَيۡهِمۡ ","But they will never wish for it, ever, because of what their hands have put forth. (2:95)",
,"وَلَد ",Eyes,وَلَدٗاۗ
2:116,"وَقَالُواْ ٱتَّخَذَ ٱللَّهُ وَلَدٗاۗ سُبۡحَٰنَهُۥۖ بَل لَّهُۥ مَا فِي ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۖ ","And when they hear what has been revealed to the Messenger, you see their eyes overflowing with tears because of what they have recognized of the truth. (5:83)",
,أَوۡلَٰد,"and when they threw, they bewitched the eyes of the people and struck terror into them, and they presented a great [feat of] magic. (7:116)",أَوۡلَٰدَهُمۡ
6:140,"قَدۡ خَسِرَ ٱلَّذِينَ قَتَلُوٓاْ أَوۡلَٰدَهُمۡ سَفَهَۢا بِغَيۡرِ عِلۡمٖ ",Spouses,
,"ٱبۡن ","Gardens of perpetual residence; they will enter them with whoever were righteous among their fathers, their spouses and their descendants. (13:23)",ٱبۡنَ
2:87,"وَءَاتَيۡنَا عِيسَى ٱبۡنَ مَرۡيَمَ ٱلۡبَيِّنَٰتِ وَأَيَّدۡنَٰهُ بِرُوحِ ٱلۡقُدُسِۗ ",And We have already sent messengers before you and assigned to them wives and descendants. (13:38),
,أَبۡنَآء,Inclinations/ Desires,أَبۡنَآءَهُمۡۖ
2:146,ٱلَّذِينَ ءَاتَيۡنَٰهُمُ ٱلۡكِتَٰبَ يَعۡرِفُونَهُۥ كَمَا يَعۡرِفُونَ أَبۡنَآءَهُمۡۖ,"And judge, [O Muhammad], between them by what Allah has revealed and do not follow their inclinations and beware of them, (5:49)",
,إِخۡوَٰن,"Say, ""I will not follow your desires, for I would then have gone astray, and I would not be of the [rightly] guided."" (6:56)",فَإِخۡوَٰنُكُمۡۚ
2:220,"قُلۡ إِصۡلَاحٞ لَّهُمۡ خَيۡرٞۖ وَإِن تُخَالِطُوهُمۡ فَإِخۡوَٰنُكُمۡۚ ",Minds/ Understanding,وَإِخۡوَٰنِهِمۡۖ
6:87,"وَمِنۡ ءَابَآئِهِمۡ وَذُرِّيَّٰتِهِمۡ وَإِخۡوَٰنِهِمۡۖ وَٱجۡتَبَيۡنَٰهُمۡ وَهَدَيۡنَٰهُمۡ إِلَىٰ صِرَٰطٖ مُّسۡتَقِيمٖ ","And there is for you in legal retribution [saving of] life, O you [people] of understanding, that you may become righteous. (2:179)",
,"وَلِيّ ","[This is] a blessed Book which We have revealed to you, [O Muhammad], that they might reflect upon its verses and that those of understanding would be reminded. (38:29)",وَلِيُّهُۥ
2:282,"فَإِن كَانَ ٱلَّذِي عَلَيۡهِ ٱلۡحَقُّ سَفِيهًا أَوۡ ضَعِيفًا أَوۡ لَا يَسۡتَطِيعُ أَن يُمِلَّ هُوَ فَلۡيُمۡلِلۡ وَلِيُّهُۥ بِٱلۡعَدۡلِۚ ",Doors/ Gates,
,أَوۡلِيَآء,"Gardens of perpetual residence, whose doors will be opened to them. (38:50)",أَوۡلِيَآءَ
3:28,لَّا يَتَّخِذِ ٱلۡمُؤۡمِنُونَ ٱلۡكَٰفِرِينَ أَوۡلِيَآءَ مِن دُونِ ٱلۡمُؤۡمِنِينَۖ,"And she, in whose house he was, sought to seduce him. She closed the doors (12:23)",
,ذَكَر,Oaths,ذَكَرٍ
16:97,"مَنۡ عَمِلَ صَٰلِحٗا مِّن ذَكَرٍ أَوۡ أُنثَىٰ وَهُوَ مُؤۡمِنٞ فَلَنُحۡيِيَنَّهُۥ حَيَوٰةٗ طَيِّبَةٗۖ ","Indeed, those who exchange the covenant of Allah and their [own] oaths for a small price will have no share in the Hereafter, (3:77)",ذَكَرٍ
40:40,"وَمَنۡ عَمِلَ صَٰلِحٗا مِّن ذَكَرٍ أَوۡ أُنثَىٰ وَهُوَ مُؤۡمِنٞ فَأُوْلَٰٓئِكَ يَدۡخُلُونَ ٱلۡجَنَّةَ ",And to those whom your oaths have bound [to you] - give them their share. (4:33),
,أُنثَى,,أُنثَىٰ ، كَٱلۡأُنثَىٰۖ
3:36,"رَبِّ إِنِّي وَضَعۡتُهَآ أُنثَىٰ وَٱللَّهُ أَعۡلَمُ بِمَا وَضَعَتۡ وَلَيۡسَ ٱلذَّكَرُ كَٱلۡأُنثَىٰۖ ",,أُنثَىٰ
40:40,"وَمَنۡ عَمِلَ صَٰلِحٗا مِّن ذَكَرٍ أَوۡ أُنثَىٰ وَهُوَ مُؤۡمِنٞ فَأُوْلَٰٓئِكَ يَدۡخُلُونَ ٱلۡجَنَّةَ ",,
,وَجۡه,,وَجۡهَ
